acc,pdb
P08195,2DH2
P08195,2DH3
P08195,6IRS
P08195,6IRT
P08195,6JMQ
P08195,6JMR
P08195,6S8V
P08195,7B00
P08195,7CCS
P08195,7CMH
P08195,7CMI
P08195,7DF1
P08195,7DSK
P08195,7DSL
P08195,7DSN
P08195,7DSQ
P08195,7EPZ
P08195,7P9U
P08195,7P9V
P08908,7E2X
P08908,7E2Y
P08908,7E2Z
P28222,4IAQ
P28222,4IAR
P28222,5V54
P28222,6G79
P28222,7C61
P28221,7E32
P28566,7E33
P30939,7EXD
P28223,6A93
P28223,6A94
P28223,6WGT
P28223,6WH4
P28223,6WHA
P28223,7RAN
P28223,7VOD
P28223,7VOE
P28223,7WC4
P28223,7WC5
P28223,7WC6
P28223,7WC7
P28223,7WC8
P28223,7WC9
P41595,4IB4
P41595,4NC3
P41595,5TUD
P41595,5TVN
P41595,6DRX
P41595,6DRY
P41595,6DRZ
P41595,6DS0
P41595,7SRQ
P41595,7SRR
P41595,7SRS
P28335,6BQG
P28335,6BQH
P28335,8DPF
P28335,8DPG
P28335,8DPH
P28335,8DPI
Q13639,5EM9
Q13639,7XT8
Q13639,7XT9
Q13639,7XTA
P47898,7UM4
P47898,7UM5
P47898,7UM6
P47898,7UM7
P47898,7X5H
P50406,7XTB
P50406,7YS6
P34969,7XTC
P21589,4H1S
P21589,4H1Y
P21589,4H2B
P21589,4H2F
P21589,4H2G
P21589,4H2I
P21589,6HXW
P21589,6S7F
P21589,6S7H
P21589,6TVE
P21589,6TVG
P21589,6TVX
P21589,6TW0
P21589,6TWA
P21589,6TWF
P21589,6VC9
P21589,6VCA
P21589,6XUE
P21589,6XUG
P21589,6XUQ
P21589,6YE1
P21589,6YE2
P21589,6Z9B
P21589,6Z9D
P21589,7BBJ
P21589,7JV8
P21589,7JV9
P21589,7P9N
P21589,7P9R
P21589,7P9T
P21589,7PA4
P21589,7PB5
P21589,7PBA
P21589,7PBB
P21589,7PBY
P21589,7PCP
P21589,7PD9
P21589,7QGA
P21589,7QGL
P21589,7QGM
P21589,7QGO
P05067,1AAP
P05067,1AMB
P05067,1AMC
P05067,1AML
P05067,1BA4
P05067,1BA6
P05067,1BJB
P05067,1BJC
P05067,1BRC
P05067,1CA0
P05067,1HZ3
P05067,1IYT
P05067,1MWP
P05067,1OWT
P05067,1QCM
P05067,1QWP
P05067,1QXC
P05067,1QYT
P05067,1TAW
P05067,1TKN
P05067,1X11
P05067,1Z0Q
P05067,1ZE7
P05067,1ZE9
P05067,1ZJD
P05067,2BEG
P05067,2BP4
P05067,2FJZ
P05067,2FK1
P05067,2FK2
P05067,2FK3
P05067,2FKL
P05067,2FMA
P05067,2G47
P05067,2IPU
P05067,2LFM
P05067,2LLM
P05067,2LMN
P05067,2LMO
P05067,2LMP
P05067,2LMQ
P05067,2LNQ
P05067,2LOH
P05067,2LP1
P05067,2LZ3
P05067,2LZ4
P05067,2M4J
P05067,2M9R
P05067,2M9S
P05067,2MGT
P05067,2MJ1
P05067,2MPZ
P05067,2MVX
P05067,2MXU
P05067,2NAO
P05067,2OTK
P05067,2R0W
P05067,2WK3
P05067,2Y29
P05067,2Y2A
P05067,2Y3J
P05067,2Y3K
P05067,2Y3L
P05067,3AYU
P05067,3BAE
P05067,3BKJ
P05067,3DXC
P05067,3DXD
P05067,3DXE
P05067,3GCI
P05067,3IFL
P05067,3IFN
P05067,3IFO
P05067,3IFP
P05067,3JQ5
P05067,3JQL
P05067,3JTI
P05067,3KTM
P05067,3L33
P05067,3L81
P05067,3MOQ
P05067,3MXC
P05067,3MXY
P05067,3NYJ
P05067,3NYL
P05067,3OVJ
P05067,3OW9
P05067,3PZZ
P05067,3Q2X
P05067,3SV1
P05067,3U0T
P05067,3UMH
P05067,3UMI
P05067,3UMK
P05067,4HIX
P05067,4JFN
P05067,4M1C
P05067,4MDR
P05067,4MVI
P05067,4MVK
P05067,4MVL
P05067,4NGE
P05067,4OJF
P05067,4ONF
P05067,4ONG
P05067,4PQD
P05067,4PWQ
P05067,4XXD
P05067,5AEF
P05067,5AM8
P05067,5AMB
P05067,5BUO
P05067,5C67
P05067,5CSZ
P05067,5HOW
P05067,5HOX
P05067,5HOY
P05067,5KK3
P05067,5LFY
P05067,5LV0
P05067,5MY4
P05067,5MYO
P05067,5MYX
P05067,5ONP
P05067,5ONQ
P05067,5OQV
P05067,5TXD
P05067,5VOS
P05067,5VZY
P05067,5W3P
P05067,6CO3
P05067,6GFI
P05067,6ITU
P05067,6IYC
P05067,6NB9
P05067,6O4J
P05067,6OC9
P05067,6OIZ
P05067,6RHY
P05067,6SHS
P05067,6SZF
P05067,6TI5
P05067,6TI6
P05067,6TI7
P05067,6W0O
P05067,6WXM
P05067,6XOV
P05067,6YHF
P05067,6YHI
P05067,6YHO
P05067,6YHP
P05067,6YHX
P05067,7B3J
P05067,7B3K
P05067,7E6P
P05067,7JXN
P05067,7JXO
P05067,7O1Q
P05067,7OW1
P05067,7OXN
P05067,7Q4B
P05067,7Q4M
P05067,7RTZ
P05067,7U4P
P05067,7WVY
P05067,7Y3J
