acc;site;main_class;sub_class_1;sub_class_all;protein_names;binding_sites;area_a2;alpha_seeds;beta_seeds;hydrophobicity;pdbs
P08195;0;Transporters;SLC;"SLC;Other;SLC3";4F2 cell-surface antigen heavy chain;[];[];[];[];[];['2DH2', '2DH3', '6IRS', '6IRT', '6JMQ', '6JMR', '6S8V', '7B00', '7CCS', '7CMH', '7CMI', '7DF1', '7DSK', '7DSL', '7DSN', '7DSQ', '7EPZ', '7P9U', '7P9V']
P08908;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 1A;[];[];[];[];[];['7E2X', '7E2Y', '7E2Z']
P28222;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 1B;[];[];[];[];[];['4IAQ', '4IAR', '5V54', '6G79', '7C61']
P28221;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 1D;[];[];[];[];[];['7E32']
P28566;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 1E;[];[];[];[];[];['7E33']
P30939;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 1F;[];[];[];[];[];['7EXD']
P28223;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 2A;[];[];[];[];[];['6A93', '6A94', '6WGT', '6WH4', '6WHA', '7RAN', '7VOD', '7VOE', '7WC4', '7WC5', '7WC6', '7WC7', '7WC8', '7WC9']
P41595;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 2B;[];[];[];[];[];['4IB4', '4NC3', '5TUD', '5TVN', '6DRX', '6DRY', '6DRZ', '6DS0', '7SRQ', '7SRR', '7SRS']
P28335;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 2C;[];[];[];[];[];['6BQG', '6BQH', '8DPF', '8DPG', '8DPH', '8DPI']
P46098;4;Transporters;Channels;"Channels;Ligand_gated_ion_channels;cys-loop";5-hydroxytryptamine receptor 3A;[425, 237, 148, 121];[1241.7040243558536, 629.1093587945845, 2210.3047451238085, 1403.1434895068255];[1, 338, 1202, 46];[18, 665, 1253, 148];[9.9, 1.5, -8.6, 16.6999];[]
O95264;1;Transporters;Channels;"Channels;Ligand_gated_ion_channels;cys-loop";5-hydroxytryptamine receptor 3B;[385];[1135.2658956248695];[26];[1208];[10.0999];[]
Q8WXA8;2;Transporters;Channels;"Channels;Ligand_gated_ion_channels;cys-loop";5-hydroxytryptamine receptor 3C;[418, 128];[1027.3203841965792, 1702.134486187667];[44, 169];[50, 400];[23.3, 5.89999];[]
Q70Z44;1;Transporters;Channels;"Channels;Ligand_gated_ion_channels;cys-loop";5-hydroxytryptamine receptor 3D;[219];[3181.6574622712124];[2];[40];[34.9];[]
A5X5Y0;1;Transporters;Channels;"Channels;Ligand_gated_ion_channels;cys-loop";5-hydroxytryptamine receptor 3E;[130];[1159.6446546167263];[22];[168];[21.9];[]
Q13639;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 4;[];[];[];[];[];['5EM9', '7XT8', '7XT9', '7XTA']
P47898;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 5A;[];[];[];[];[];['7UM4', '7UM5', '7UM6', '7UM7', '7X5H']
P50406;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 6;[];[];[];[];[];['7XTB', '7YS6']
P34969;0;Receptors;GPCR;"GPCR;Rhodopsin";5-hydroxytryptamine receptor 7;[];[];[];[];[];['7XTC']
P21589;2;Enzymes;Hydrolases;3.1.3;5'-nucleotidase;[170, 362];[1005.413205351019, 3902.989630890233];[51, 203];[518, 1264];[3.7, -43.999];['4H1S', '4H1Y', '4H2B', '4H2F', '4H2G', '4H2I', '6HXW', '6S7F', '6S7H', '6TVE', '6TVG', '6TVX', '6TW0', '6TWA', '6TWF', '6VC9', '6VCA', '6XUE', '6XUG', '6XUQ', '6YE1', '6YE2', '6Z9B', '6Z9D', '7BBJ', '7JV8', '7JV9', '7P9N', '7P9R', '7P9T', '7PA4', '7PB5', '7PBA', '7PBB', '7PBY', '7PCP', '7PD9', '7QGA', '7QGL', '7QGM', '7QGO']
