,acc,site,main_class,sub_class_1,sub_class_all,binding_sites,area_a2,alpha_seeds,beta_seeds,hydrophobicity,pdbs
0,P08195,0,Transporters,SLC,SLC;Other;SLC3,[],[],[],[],[],"['2DH2', '2DH3', '6IRS', '6IRT', '6JMQ', '6JMR', '6S8V', '7B00', '7CCS', '7CMH', '7CMI', '7DF1', '7DSK', '7DSL', '7DSN', '7DSQ', '7EPZ', '7P9U', '7P9V']"
1,P08908,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['7E2X', '7E2Y', '7E2Z']"
2,P28222,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['4IAQ', '4IAR', '5V54', '6G79', '7C61']"
3,P28221,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],['7E32']
4,P28566,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],['7E33']
5,P30939,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],['7EXD']
6,P28223,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['6A93', '6A94', '6WGT', '6WH4', '6WHA', '7RAN', '7VOD', '7VOE', '7WC4', '7WC5', '7WC6', '7WC7', '7WC8', '7WC9']"
7,P41595,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['4IB4', '4NC3', '5TUD', '5TVN', '6DRX', '6DRY', '6DRZ', '6DS0', '7SRQ', '7SRR', '7SRS']"
8,P28335,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['6BQG', '6BQH', '8DPF', '8DPG', '8DPH', '8DPI']"
9,P46098,4,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[425, 237, 148, 121]","[1241.7040243558536, 629.1093587945845, 2210.3047451238085, 1403.1434895068255]","[1, 338, 1202, 46]","[18, 665, 1253, 148]","[9.9, 1.5, -8.6, 16.6999]",[]
10,O95264,1,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[385],[1135.2658956248695],[26],[1208],[10.0999],[]
11,Q8WXA8,2,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,"[418, 128]","[1027.3203841965792, 1702.134486187667]","[44, 169]","[50, 400]","[23.3, 5.89999]",[]
12,Q70Z44,1,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[219],[3181.6574622712124],[2],[40],[34.9],[]
13,A5X5Y0,1,Transporters,Channels,Channels;Ligand_gated_ion_channels;cys-loop,[130],[1159.6446546167263],[22],[168],[21.9],[]
14,Q13639,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['5EM9', '7XT8', '7XT9', '7XTA']"
15,P47898,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['7UM4', '7UM5', '7UM6', '7UM7', '7X5H']"
16,P50406,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],"['7XTB', '7YS6']"
17,P34969,0,Receptors,GPCR,GPCR;Rhodopsin,[],[],[],[],[],['7XTC']
